seqnames	start	end	strand	RPKM	gene	tx_name
chr19	53732981	53733083	-	0	ENSG00000252734.1	ENST00000516925.1
chr8	33338867	33338966	+	0	ENSG00000252735.1	ENST00000516926.1
chr2	128350829	128350927	-	0	ENSG00000252742.1	ENST00000516933.1
chr3	142591677	142591791	-	0	ENSG00000252745.1	ENST00000516936.1
chr14	37187219	37187314	+	0	ENSG00000252746.1	ENST00000516937.1
chr14	63736444	63736505	+	0	ENSG00000252749.1	ENST00000516940.1
chr3	124407691	124407783	+	0	ENSG00000252751.1	ENST00000516942.1
chr1	93010257	93010351	+	0	ENSG00000252752.1	ENST00000516943.1
chr4	86336318	86336614	-	0	ENSG00000252757.1	ENST00000516948.1
chr9	74857675	74857781	+	0	ENSG00000252758.1	ENST00000516949.1
chr1	111041834	111041925	+	0	ENSG00000252760.1	ENST00000516951.1
chr6	30932618	30932709	-	0	ENSG00000252761.1	ENST00000516952.1
chr4	81928313	81928439	+	0	ENSG00000252762.1	ENST00000516953.1
chr8	100683488	100683574	+	0	ENSG00000252764.1	ENST00000516955.1
chr1	101133153	101133339	+	0	ENSG00000252765.1	ENST00000516956.1
chrY	19018983	19019087	-	0	ENSG00000252766.1	ENST00000516957.1
chr6	40407853	40407955	+	0	ENSG00000252767.1	ENST00000516958.1
chr11	7889182	7889279	-	0	ENSG00000252769.1	ENST00000516960.1
chr19	31655356	31655461	-	0	ENSG00000252780.1	ENST00000516971.1
chr14	87996345	87996448	-	0	ENSG00000252783.1	ENST00000516974.1
chr1	63338263	63338372	+	0	ENSG00000252784.1	ENST00000516975.1
chr5	165609441	165609679	+	0	ENSG00000252794.1	ENST00000516985.1
chr13	38779424	38779516	+	0	ENSG00000252795.1	ENST00000516986.1
chr1	89987713	89987944	-	0	ENSG00000252797.1	ENST00000516988.1
chr16	21587627	21587864	+	0	ENSG00000252798.1	ENST00000516989.1
chr1	26593940	26594041	-	0	ENSG00000252802.1	ENST00000516993.1
chr16	35754046	35754182	+	0	ENSG00000252806.1	ENST00000516997.1
chr2	170119996	170120098	-	0	ENSG00000252807.1	ENST00000516998.1
chrX	101915589	101915695	+	0	ENSG00000252810.1	ENST00000517001.1
chr16	76287630	76287739	+	0	ENSG00000252814.1	ENST00000517005.1
chr4	55031965	55032071	-	0	ENSG00000252815.1	ENST00000517006.1
chr11	21383801	21383909	-	0	ENSG00000252816.1	ENST00000517007.1
chr7	138175045	138175136	+	0	ENSG00000252820.1	ENST00000517011.1
chr1	236060677	236060772	+	0	ENSG00000252822.1	ENST00000517013.1
chr1	143720510	143720644	-	0.0577203045680615	ENSG00000252826.1	ENST00000517017.1
chr12	96427200	96427486	-	0.0950273306913208	ENSG00000252827.1	ENST00000517018.1
chr3	68882967	68883091	+	0	ENSG00000252828.1	ENST00000517019.1
chr1	143439605	143439714	+	0	ENSG00000252830.2	ENST00000517021.2
chr10	19792998	19793101	-	0	ENSG00000252832.1	ENST00000517023.1
chr14	57837354	57837660	-	0	ENSG00000252837.1	ENST00000517028.1
chr2	96956708	96956815	-	0	ENSG00000252845.1	ENST00000517036.1
chr7	44125752	44125873	-	0	ENSG00000252848.1	ENST00000517039.1
chr8	117313528	117313661	+	0	ENSG00000252852.1	ENST00000517043.1
chr13	46249942	46250213	+	0	ENSG00000252854.1	ENST00000517045.1
chrX	48206258	48206374	+	0	ENSG00000252856.1	ENST00000517047.1
chr7	55685977	55686081	+	0	ENSG00000252857.1	ENST00000517048.1
chr12	76139567	76139671	+	0	ENSG00000252858.1	ENST00000517049.1
chr1	200054061	200054165	+	0.111317730238404	ENSG00000252860.1	ENST00000517051.1
chr12	101871742	101871801	-	0.0649353426390692	ENSG00000252863.1	ENST00000517054.1
chr7	128697710	128697744	+	0	ENSG00000252866.1	ENST00000517057.1
chr5	28624657	28624763	+	0	ENSG00000252867.1	ENST00000517058.1
chr11	115128218	115128373	-	0	ENSG00000252870.1	ENST00000517061.1
chr7	96377857	96377920	+	0	ENSG00000252872.1	ENST00000517063.1
chr17	43395993	43396091	-	0	ENSG00000252882.1	ENST00000517073.1
chr10	76835377	76835502	-	0	ENSG00000252888.1	ENST00000517079.1
chr3	109225129	109225227	+	0	ENSG00000252889.1	ENST00000517080.1
chr4	66897262	66897371	+	0	ENSG00000252890.1	ENST00000517081.1
chr6	89898283	89898392	-	0	ENSG00000252891.1	ENST00000517082.1
chr2	82268612	82268706	+	0	ENSG00000252897.1	ENST00000517088.1
chr4	173446603	173446704	-	0	ENSG00000252898.1	ENST00000517089.1
chrY	4174985	4175090	-	0	ENSG00000252900.1	ENST00000517091.1
chr11	71845196	71845245	-	0	ENSG00000252902.1	ENST00000517093.1
chr5	17240611	17240715	+	0	ENSG00000252908.1	ENST00000517099.1
chr4	48932755	48932854	-	0	ENSG00000252913.1	ENST00000517104.1
chr1	153012482	153012614	-	0	ENSG00000252920.1	ENST00000517111.1
chr11	41122907	41123012	-	0	ENSG00000252922.1	ENST00000517113.1
chr16	9600097	9600228	+	0	ENSG00000252927.1	ENST00000517118.1
chrX	112919132	112919230	+	0	ENSG00000252930.1	ENST00000517121.1
chr15	85821855	85821957	+	0	ENSG00000252931.1	ENST00000517122.1
chr8	78398515	78398622	-	0	ENSG00000252935.1	ENST00000517126.1
chr16	35755177	35755285	+	0	ENSG00000252936.1	ENST00000517127.1
chr3	73241789	73241896	-	0	ENSG00000252937.1	ENST00000517128.1
chr14	50844625	50844712	+	0	ENSG00000252945.1	ENST00000517136.1
chrY	26360989	26361092	+	0	ENSG00000252948.1	ENST00000517139.1
chr3	125388934	125388997	+	0	ENSG00000252953.1	ENST00000517144.1
chr4	72965178	72965303	+	0	ENSG00000252955.1	ENST00000517146.1
chr1	9437669	9437778	-	0	ENSG00000252956.1	ENST00000517147.1
chr15	100074081	100074190	-	0.106257833409386	ENSG00000252957.1	ENST00000517148.1
chr4	166053187	166053287	-	0	ENSG00000252959.1	ENST00000517150.1
chr19	2503047	2503141	-	0.123035386052973	ENSG00000252962.1	ENST00000517153.1
chr21	20356653	20356896	+	0	ENSG00000252963.1	ENST00000517154.1
chr15	86138269	86138379	-	0	ENSG00000252964.1	ENST00000517155.1
chr1	12221148	12221271	-	0	ENSG00000252969.1	ENST00000517160.1
chr19	19232855	19232947	+	0	ENSG00000252973.1	ENST00000517164.1
chr1	181771566	181771644	+	0	ENSG00000252977.1	ENST00000517168.1
chrX	20452108	20452431	+	0	ENSG00000252978.1	ENST00000517169.1
chr19	53766534	53766632	-	0	ENSG00000252979.1	ENST00000517170.1
chr3	44071087	44071186	+	0	ENSG00000252980.1	ENST00000517171.1
chr3	174057641	174057864	+	0	ENSG00000252982.1	ENST00000517173.1
chr7	43194421	43194482	+	0	ENSG00000252983.1	ENST00000517174.1
chr15	57405074	57405175	-	0	ENSG00000252984.1	ENST00000517175.1
chr9	126426893	126426970	+	0.649353426390692	ENSG00000252985.1	ENST00000517176.1
chr1	169067264	169067364	+	0	ENSG00000252987.1	ENST00000517178.1
chr2	73298683	73298787	+	0.111317730238404	ENSG00000252988.1	ENST00000517179.1
chr6	39620345	39620464	-	0	ENSG00000252990.1	ENST00000517181.1
chr9	1001858	1001963	-	0	ENSG00000252991.1	ENST00000517182.1
chr15	79817349	79817450	-	0.0381972603759231	ENSG00000252995.1	ENST00000517186.1
chr12	2954240	2954338	-	0.393547531145874	ENSG00000252996.1	ENST00000517187.1
chr10	2098167	2098269	+	0	ENSG00000252998.1	ENST00000517189.1
chr14	20090130	20090227	+	0	ENSG00000252999.1	ENST00000517190.1
chr4	178116721	178116861	-	0	ENSG00000253000.1	ENST00000517191.1
chr14	34675891	34675994	+	0	ENSG00000253003.1	ENST00000517194.1
chr2	229236340	229236609	-	0	ENSG00000253006.1	ENST00000517197.1
chr22	33704786	33704920	-	0	ENSG00000253007.2	ENST00000517198.2
chr6	53415294	53415607	-	0	ENSG00000253010.1	ENST00000517201.1
chr4	186130021	186130155	+	0.259741370556277	ENSG00000253013.1	ENST00000517204.1
chr5	139333038	139333365	-	0	ENSG00000253015.1	ENST00000517206.1
chr12	38274448	38274549	-	0	ENSG00000253016.1	ENST00000517207.1
chr19	44085213	44085303	-	0	ENSG00000253021.1	ENST00000517212.1
chr5	143542514	143542587	-	0	ENSG00000253023.1	ENST00000517214.1
chr6	53153795	53153898	-	0	ENSG00000253026.1	ENST00000517217.1
chr19	44764950	44765100	+	0	ENSG00000253027.1	ENST00000517218.1
chr7	52269437	52269569	-	0	ENSG00000253028.1	ENST00000517219.1
chr9	103689473	103689577	-	0	ENSG00000253031.1	ENST00000517222.1
chr18	39034007	39034110	+	0	ENSG00000253038.1	ENST00000517229.1
chr18	42270589	42270715	+	0	ENSG00000253040.1	ENST00000517231.1
chr9	101322477	101322533	+	0	ENSG00000253041.1	ENST00000517232.1
chr12	53816185	53816479	+	0	ENSG00000253053.1	ENST00000517244.1
chr16	35750061	35750175	+	0	ENSG00000253055.1	ENST00000517246.1
chr1	171768070	171768175	+	0	ENSG00000253060.1	ENST00000517251.1
chr5	168033091	168033205	-	0	ENSG00000253065.1	ENST00000517256.1
chr10	114111414	114111517	+	0	ENSG00000253066.1	ENST00000517257.1
chr5	132080066	132080133	+	0	ENSG00000253067.1	ENST00000517258.1
chr10	35231331	35231394	-	0	ENSG00000253070.1	ENST00000517261.1
chr11	15481808	15481893	-	0	ENSG00000253072.1	ENST00000517263.1
chr5	83685866	83686018	+	0	ENSG00000253073.1	ENST00000517264.1
chr1	67196140	67196243	+	0	ENSG00000253074.1	ENST00000517265.1
chr4	151971497	151971613	-	0	ENSG00000253077.1	ENST00000517268.1
chr2	37435510	37435608	-	0	ENSG00000253078.1	ENST00000517269.1
chr9	126408041	126408410	-	0	ENSG00000253079.1	ENST00000517270.1
chr12	111339527	111339621	+	0	ENSG00000253080.1	ENST00000517271.1
chr3	8364529	8364648	-	0	ENSG00000253081.1	ENST00000517272.1
chr2	147713455	147713554	-	0	ENSG00000253083.1	ENST00000517274.1
chr1	13696070	13696199	-	0	ENSG00000253085.1	ENST00000517276.1
chr3	134780527	134780627	-	0	ENSG00000253087.1	ENST00000517278.1
chr12	127321355	127321529	+	0	ENSG00000253089.1	ENST00000517280.1
chr6	107985659	107985773	-	0	ENSG00000253090.2	ENST00000517281.2
chr3	183452567	183452764	+	0.550966543604224	ENSG00000253092.1	ENST00000517283.1
chr1	205566716	205566799	+	0	ENSG00000253097.1	ENST00000517288.1
chr5	40911067	40911128	-	0	ENSG00000253098.1	ENST00000517289.1
chr11	111383092	111383219	+	0	ENSG00000253099.1	ENST00000517290.1
chr8	25670616	25687523	+	0.000460861196870612	ENSG00000253100.2	ENST00000654668.1
chr8	111182455	111236179	-	0	ENSG00000253103.2	ENST00000655136.1
chr8	96370800	96387438	-	0.000468311864696695	ENSG00000253105.6	ENST00000522767.2
chr8	110555408	110556518	+	0.00701371837685716	ENSG00000253107.1	ENST00000523800.1
chr8	34228439	34346731	+	0	ENSG00000253108.1	ENST00000522460.1
chr5	174039751	174040240	-	0	ENSG00000253109.1	ENST00000519073.1
chr5	171773652	171774739	+	0	ENSG00000253110.1	ENST00000524175.1
chr8	58091442	58106294	-	0	ENSG00000253116.1	ENST00000518536.1
chr8	132024216	132059382	-	0.000443156431693821	ENSG00000253117.5	ENST00000254627.4
chr8	92351912	92352148	-	0	ENSG00000253118.1	ENST00000522089.1
chr22	22580014	22580296	+	0	ENSG00000253120.1	ENST00000490007.2
chr8	110609241	110632394	+	0	ENSG00000253122.1	ENST00000523264.1
chr8	37326606	37331991	-	0	ENSG00000253123.4	ENST00000661295.1
chr8	71448811	71449219	-	0	ENSG00000253124.1	ENST00000517589.1
chr22	22198560	22199011	+	0	ENSG00000253126.1	ENST00000521342.1
chr2	89887022	89887247	+	0	ENSG00000253127.1	ENST00000518643.1
chr8	8564617	8570665	+	0.00386455998513224	ENSG00000253130.2	ENST00000652913.1
chr14	106609762	106610196	-	0	ENSG00000253131.1	ENST00000518372.1
chr14	106643142	106643585	-	0	ENSG00000253132.1	ENST00000520057.1
chr5	158275711	158278813	+	0	ENSG00000253134.1	ENST00000523820.1
chr8	42128774	42129249	-	0	ENSG00000253135.1	ENST00000520355.1
chr8	84678798	84679842	+	0	ENSG00000253137.1	ENST00000521355.1
chr8	66192111	66197315	+	0	ENSG00000253138.5	ENST00000518035.5
chr8	48515852	48518157	-	0	ENSG00000253140.2	ENST00000665034.1
chr8	70471112	70480623	-	0	ENSG00000253143.3	ENST00000521051.1
chr5	154559308	154560440	-	0.0275101186820417	ENSG00000253146.1	ENST00000524055.1
chr8	20953127	20962895	+	0	ENSG00000253147.5	ENST00000523852.5
chr14	106329432	106329684	-	0	ENSG00000253149.3	ENST00000521012.3
chr22	22738944	22739187	+	0	ENSG00000253152.1	ENST00000519099.1
chr8	101562008	101562488	-	0.275401453188568	ENSG00000253153.1	ENST00000524051.1
chr8	85833377	85908602	+	0.000310753241566279	ENSG00000253154.2	ENST00000648211.1
chr8	111621458	111621797	-	0	ENSG00000253156.1	ENST00000521058.1
chr2	89252211	89252736	-	0	ENSG00000253158.1	ENST00000523109.1
chr8	39309909	39310443	-	0	ENSG00000253160.1	ENST00000518705.1
chr8	37421341	37493913	-	0.00171793721999935	ENSG00000253161.5	ENST00000522718.5
chr5	179377531	179378761	-	0	ENSG00000253163.1	ENST00000519603.1
chr8	20350256	20372769	+	0.00207663883362041	ENSG00000253164.5	ENST00000521139.1
chr8	133775551	133777352	-	0	ENSG00000253165.1	ENST00000517380.1
chr8	202660	202897	-	0.343775343383308	ENSG00000253166.2	ENST00000522984.2
chr14	106671772	106672073	-	0	ENSG00000253169.2	ENST00000519992.2
chr4	97120701	97135059	+	0	ENSG00000253170.1	ENST00000517407.1
chr8	87974165	88019113	+	0.000173357385407647	ENSG00000253171.1	ENST00000518129.1
chr8	27838477	27840382	+	0.0183972114507332	ENSG00000253176.3	ENST00000519761.3
chr8	92668836	92683450	+	0	ENSG00000253177.2	ENST00000657155.1
chr8	20551201	20551405	+	0	ENSG00000253178.1	ENST00000520905.1
chr11	14907518	14907986	+	0	ENSG00000253179.1	ENST00000522108.1
chr8	37717579	37733756	+	0.000481656639676617	ENSG00000253181.2	ENST00000523507.1
chr7	139502453	139503812	+	0.0114591781127769	ENSG00000253183.1	ENST00000520729.1
chr8	16604255	16664879	+	0	ENSG00000253184.1	ENST00000521055.1
chr8	43253732	43254089	+	0	ENSG00000253186.2	ENST00000523185.2
chr7	142487863	142488295	+	0	ENSG00000253188.1	ENST00000390373.2
chr8	6036433	6036974	-	0	ENSG00000253189.1	ENST00000523090.1
chr2	89928422	89928867	+	0	ENSG00000253191.1	ENST00000517449.1
chr8	43542076	43544057	+	0	ENSG00000253195.2	ENST00000519172.2
chr8	142763116	142766427	+	0.00235272980576338	ENSG00000253196.1	ENST00000523657.1
chr8	43674270	43674591	-	0	ENSG00000253198.1	ENST00000519417.1
chr8	20972897	20975029	+	0	ENSG00000253199.2	ENST00000656273.1
chr2	89192500	89192752	-	0	ENSG00000253202.1	ENST00000523155.1
chr5	69639459	69679259	-	0	ENSG00000253203.6	ENST00000513408.6
chr8	63384839	63417964	-	0.00023523036637953	ENSG00000253205.6	ENST00000521221.6
chr8	49536386	49554414	-	0	ENSG00000253206.1	ENST00000520800.1
chr8	113600310	113616958	+	0	ENSG00000253207.3	ENST00000521500.2
chr14	106666092	106666532	-	0	ENSG00000253209.1	ENST00000523210.1
chr8	81154265	81165266	+	0.00212477034630657	ENSG00000253214.2	ENST00000669190.1
chr8	17882043	17882661	+	0	ENSG00000253215.1	ENST00000519368.1
chr8	69446057	69446260	+	0	ENSG00000253216.1	ENST00000522872.1
chr8	100337595	100350707	+	0.00594237864461855	ENSG00000253217.1	ENST00000519566.1
chr5	170140664	170141940	-	0.0732238789352073	ENSG00000253219.1	ENST00000518924.1
chr8	126497385	126500440	+	0	ENSG00000253220.2	ENST00000648647.1
chr5	109884610	109885423	-	0	ENSG00000253224.1	ENST00000518923.1
chr8	72618722	72619383	-	0	ENSG00000253226.1	ENST00000523909.1
chr8	124271715	124279580	+	0.0515123999577666	ENSG00000253227.2	ENST00000668271.1
chr8	107983116	107983965	+	0.270436603461535	ENSG00000253228.1	ENST00000520874.1
chr8	75302296	75302574	+	0	ENSG00000253229.1	ENST00000521833.1
chr8	9900064	9903397	-	0	ENSG00000253230.9	ENST00000517675.1
chr8	64331927	64332152	+	0	ENSG00000253231.1	ENST00000522620.1
chr8	33523154	33523291	+	0	ENSG00000253232.1	ENST00000519573.1
chr8	39867436	39867812	-	0	ENSG00000253233.1	ENST00000521358.1
chr22	22856762	22857038	+	0	ENSG00000253234.1	ENST00000522922.1
chr5	164448161	164467879	-	0	ENSG00000253236.2	ENST00000519929.2
chr22	22026076	22026593	+	0	ENSG00000253239.1	ENST00000523272.1
chr14	106392774	106393231	-	0	ENSG00000253240.1	ENST00000520848.1
chr14	106566117	106566555	-	0	ENSG00000253241.1	ENST00000522107.1
chr22	22075366	22075666	+	0	ENSG00000253242.1	ENST00000518581.1
chr5	174056060	174056585	-	0	ENSG00000253244.1	ENST00000523279.1
chr11	103407441	103408376	-	0	ENSG00000253245.2	ENST00000522384.2
chr14	106827869	106828163	-	0	ENSG00000253247.1	ENST00000522465.1
chr8	90958471	90985238	-	0.0844198268021372	ENSG00000253250.3	ENST00000517562.3
chr8	9180251	9182519	-	0	ENSG00000253252.2	ENST00000521298.2
chr8	13353401	13353530	-	0	ENSG00000253257.1	ENST00000523876.1
chr8	123181638	123182788	-	0.0203099247176932	ENSG00000253258.1	ENST00000522383.1
chr8	130892070	130892785	-	0	ENSG00000253259.1	ENST00000520785.1
chr8	59561324	59601263	-	0	ENSG00000253260.2	ENST00000666426.1
chr5	154993598	154994445	+	0.0137834453715005	ENSG00000253261.1	ENST00000483777.2
chr8	5072645	5072869	-	0	ENSG00000253262.1	ENST00000518519.1
chr2	89078010	89078784	-	0	ENSG00000253265.1	ENST00000517571.1
chr8	141055290	141060596	+	0.00587317966209784	ENSG00000253266.1	ENST00000517606.1
chr5	169772966	169779365	-	0	ENSG00000253269.1	ENST00000523398.1
chr8	117055818	117056145	+	0	ENSG00000253271.2	ENST00000522976.2
chr14	106680603	106681042	-	0	ENSG00000253274.1	ENST00000519713.1
chr8	31497423	31498612	+	0	ENSG00000253275.1	ENST00000520391.1
chr2	89019992	89020686	-	0	ENSG00000253278.1	ENST00000518834.1
chr8	29921524	29953724	+	0.000483975101188678	ENSG00000253279.6	ENST00000521245.2
chr8	58258526	58272101	-	0	ENSG00000253281.7	ENST00000659840.1
chr8	101287445	101293783	+	0.0368776200505836	ENSG00000253282.1	ENST00000524287.1
chr8	85086615	85087186	+	0	ENSG00000253283.1	ENST00000522168.1
chr8	123614219	123667248	+	0.00249798414074488	ENSG00000253286.6	ENST00000652905.1
chr8	71779605	71792875	-	0	ENSG00000253287.1	ENST00000517848.1
chr8	137809444	138083570	-	0	ENSG00000253288.2	ENST00000518973.1
chr8	27903229	27903495	-	0	ENSG00000253290.1	ENST00000517763.1
chr7	142511626	142512127	+	0	ENSG00000253291.1	ENST00000390377.1
chr14	106440950	106441007	-	0	ENSG00000253294.1	ENST00000517316.1
chr5	148644687	148646390	-	0	ENSG00000253297.1	ENST00000517511.1
chr8	20655184	20700050	-	0.000173674217502581	ENSG00000253300.2	ENST00000656970.1
chr8	57142659	57232555	+	0	ENSG00000253301.6	ENST00000669200.1
chr14	106879563	106879812	-	0	ENSG00000253303.1	ENST00000522058.1
chr8	141252286	141253292	-	0.932437988640458	ENSG00000253307.1	ENST00000517658.1
chr7	27239243	27241228	-	0	ENSG00000253308.2	ENST00000523608.2
chr14	106831767	106832052	-	0	ENSG00000253310.1	ENST00000523776.1
chr8	43251711	43251858	+	0	ENSG00000253312.1	ENST00000523940.1
chr8	46839844	46855786	+	0	ENSG00000253314.7	ENST00000662731.1
chr8	72196334	72202269	+	0	ENSG00000253317.1	ENST00000523602.1
chr8	43511820	43512033	-	0	ENSG00000253319.1	ENST00000523880.1
chr5	90353037	90356609	-	0	ENSG00000253321.1	ENST00000520032.1
chr8	57594166	57805029	-	0	ENSG00000253322.1	ENST00000520426.1
chr14	106377300	106377733	-	0	ENSG00000253325.1	ENST00000519200.1
chr1	243054861	243056394	-	0.0101593756410539	ENSG00000253326.2	ENST00000517560.2
chr22	22618572	22619163	+	0	ENSG00000253329.1	ENST00000524362.1
chr5	164119098	164234097	-	0	ENSG00000253331.1	ENST00000521805.1
chr8	39860219	39860525	+	0.0126909464441178	ENSG00000253332.1	ENST00000518393.1
chr5	70495100	70500903	-	0	ENSG00000253333.1	ENST00000509969.2
chr8	81791823	81815714	+	0.00163072181414036	ENSG00000253334.1	ENST00000524337.1
chr8	123288355	123290503	+	0.139600410885295	ENSG00000253336.1	ENST00000523778.1
chr22	22661299	22661542	+	0	ENSG00000253338.1	ENST00000520084.1
chr8	50859530	50860062	+	0	ENSG00000253340.1	ENST00000523624.1
chr8	25776679	25777456	+	0	ENSG00000253342.1	ENST00000522524.1
chr8	8555738	8560965	-	0	ENSG00000253343.1	ENST00000524008.1
chr8	37626015	37674387	-	0.000644346318540368	ENSG00000253344.1	ENST00000519978.1
chr14	106263362	106263626	-	0	ENSG00000253345.1	ENST00000517888.1
chr8	30331961	30332277	-	0.196649618086771	ENSG00000253346.1	ENST00000518744.1
chr5	170747047	170758179	-	0	ENSG00000253348.1	ENST00000521965.1
chr8	89823548	89823802	-	0.0305578083007385	ENSG00000253349.1	ENST00000522347.1
chr8	95206876	95216519	-	0.012523821786465	ENSG00000253351.2	ENST00000656091.1
chr8	40369981	40393384	+	0	ENSG00000253354.2	ENST00000661711.1
chr8	101128987	101133245	+	0.0192107376673461	ENSG00000253355.1	ENST00000520411.1
chr5	167721363	167729124	+	0	ENSG00000253357.1	ENST00000517346.1
chr14	106396676	106397114	-	0	ENSG00000253359.1	ENST00000518544.1
chr8	38550199	38553851	-	0	ENSG00000253361.3	ENST00000658344.1
chr8	84163449	84164564	-	0	ENSG00000253362.1	ENST00000518452.1
chr8	36457983	36779196	-	2.42587219632031e-05	ENSG00000253363.7	ENST00000651399.1
chr14	105647924	105649057	-	0	ENSG00000253364.2	ENST00000497397.1
chr2	90010741	90011184	+	0	ENSG00000253365.1	ENST00000518953.1
chr5	70751184	70795914	+	0	ENSG00000253366.3	ENST00000505516.2
chr14	106293568	106293808	-	0	ENSG00000253367.1	ENST00000522143.1
chr8	53394110	53483639	-	0.00060924480974889	ENSG00000253369.2	ENST00000664678.1
chr5	156458398	156458507	-	0	ENSG00000253370.2	ENST00000517993.2
chr8	122808770	122815774	+	0.385440620547109	ENSG00000253372.5	ENST00000524348.1
chr8	69175579	69178189	-	0	ENSG00000253373.1	ENST00000520780.1
chr8	57888975	57918974	-	0.000259741370556277	ENSG00000253376.2	ENST00000664154.1
chr8	31275542	31385555	+	0.000495806786561875	ENSG00000253377.2	ENST00000655813.1
chr8	49496763	49512180	-	0	ENSG00000253380.1	ENST00000518854.1
chr8	40104169	40107935	+	0	ENSG00000253381.1	ENST00000524098.1
chr8	102621509	102622331	-	0	ENSG00000253382.3	ENST00000521750.3
chr14	106564375	106564598	-	0	ENSG00000253386.1	ENST00000521760.1
chr14	106039666	106039764	-	0	ENSG00000253387.1	ENST00000523059.1
chr8	37480089	37480809	+	0	ENSG00000253388.1	ENST00000517897.1
chr8	41660991	41665566	+	0	ENSG00000253389.2	ENST00000522388.1
chr8	79520145	79520649	+	0	ENSG00000253391.1	ENST00000522035.1
chr8	101122145	101126158	-	0.0970632924350811	ENSG00000253395.1	ENST00000524369.1
chr8	41435298	41440419	+	0	ENSG00000253396.1	ENST00000521725.1
chr8	27904481	27910310	+	0	ENSG00000253397.1	ENST00000517735.1
chr8	119419910	119462350	-	0	ENSG00000253398.1	ENST00000519786.1
chr9	26801733	26805862	+	0	ENSG00000253400.1	ENST00000521572.1
chr8	87575598	87576508	-	0	ENSG00000253401.1	ENST00000520205.1
chr5	161687347	161689408	-	0	ENSG00000253403.1	ENST00000521984.1
chr7	27241930	27242962	-	0	ENSG00000253405.1	ENST00000519050.1
chr8	131129761	131144948	-	0.00051305248332159	ENSG00000253407.2	ENST00000521490.2
chr7	142455174	142455635	+	0.0084331613816973	ENSG00000253409.1	ENST00000390369.2
chr8	123192875	123192932	+	0	ENSG00000253410.1	ENST00000519311.1
chr14	106142287	106142577	-	0	ENSG00000253412.1	ENST00000517613.1
chr8	59760047	59760263	+	0	ENSG00000253413.1	ENST00000522215.1
chr8	37516399	37521447	-	0.0030866473031049	ENSG00000253414.3	ENST00000668286.1
chr5	160931778	160938626	-	0	ENSG00000253417.5	ENST00000518580.5
chr8	43513643	43514421	+	0	ENSG00000253418.1	ENST00000523611.1
chr8	142858354	142858797	+	0	ENSG00000253421.1	ENST00000523947.1
chr5	158078099	158078764	-	0	ENSG00000253422.1	ENST00000519146.1
chr8	83200952	83202431	-	0	ENSG00000253423.1	ENST00000524071.1
chr5	158256137	158258436	+	0.00338793092029926	ENSG00000253424.1	ENST00000518103.1
chr8	46549089	46550802	+	0	ENSG00000253425.2	ENST00000523715.2
chr8	126474189	126492596	+	0	ENSG00000253427.1	ENST00000520171.1
chr5	173689459	173705849	+	0	ENSG00000253428.1	ENST00000521373.1
chr8	94708952	94709244	-	0	ENSG00000253429.1	ENST00000522972.1
chr8	139096305	139102830	-	0	ENSG00000253432.1	ENST00000519306.1
chr8	134838069	134842637	+	0.00511637630774019	ENSG00000253433.1	ENST00000519500.1
chr8	111741963	111757692	+	0	ENSG00000253434.8	ENST00000655458.1
chr2	88931666	88932380	-	0	ENSG00000253435.1	ENST00000523070.1
chr5	173085342	173086210	-	0.0179338115458879	ENSG00000253439.1	ENST00000518654.1
chr14	106369107	106369546	-	0	ENSG00000253440.1	ENST00000517703.1
chr14	106289029	106289479	-	0	ENSG00000253441.1	ENST00000518224.1
chr8	2493876	2512580	-	0	ENSG00000253444.1	ENST00000522799.1
chr5	174082275	174086618	-	0	ENSG00000253447.6	ENST00000649707.1
chr22	22850375	22850624	+	0	ENSG00000253448.1	ENST00000523937.1
chr5	158225352	158234376	-	0	ENSG00000253449.1	ENST00000523178.1
chr22	22664473	22664907	+	0	ENSG00000253451.1	ENST00000520681.1
chr8	35862566	35999367	+	0	ENSG00000253452.6	ENST00000654426.1
chr8	104566086	104566429	+	0	ENSG00000253454.1	ENST00000519723.1
chr8	48620465	48623895	+	0.0022711282765049	ENSG00000253455.1	ENST00000521660.1
chr5	158985806	158987199	+	0	ENSG00000253456.1	ENST00000518425.1
chr14	106163583	106163802	-	0	ENSG00000253458.1	ENST00000517931.1
chr22	16921443	16922173	-	0	ENSG00000253460.2	ENST00000521969.2
chr2	89286689	89286973	-	0	ENSG00000253461.1	ENST00000517744.1
chr14	106309417	106309666	-	0	ENSG00000253462.1	ENST00000520387.1
chr14	106489345	106489756	-	0	ENSG00000253465.1	ENST00000519334.1
chr14	106425359	106425654	-	0	ENSG00000253467.2	ENST00000520963.2
chr5	167164934	167168401	-	0	ENSG00000253469.1	ENST00000518330.1
chr8	23707141	23789487	+	0.00704970385312493	ENSG00000253471.1	ENST00000523874.1
chr5	151378003	151378640	-	0	ENSG00000253472.1	ENST00000520621.1
chr8	49168512	49228982	+	0	ENSG00000253474.2	ENST00000662753.1
chr8	69425035	69448282	-	0.00100553696447285	ENSG00000253479.6	ENST00000517343.6
chr5	180085717	180087038	-	0.0235771289461068	ENSG00000253480.1	ENST00000518368.1
chr22	16933521	16934003	-	0	ENSG00000253481.2	ENST00000521497.2
chr14	106314651	106314975	-	0	ENSG00000253482.1	ENST00000518751.1
chr8	49817586	49820944	-	0	ENSG00000253484.1	ENST00000522408.1
chr2	89295233	89295455	-	0	ENSG00000253487.1	ENST00000519999.1
